Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Amplada;Alçada;EspaiColor;ResolucioDPI;TipusCompressio;ModelCamera;OberturaDiafragma;ISO
l6x954tJsaA;Snowy mountain peak under a clear blue sky;;2026;ProfunditatDeCamp|BalançDeBlancs;https://images.unsplash.com/photo-1770909010343-47e39d4fa0b3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzMnx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;2240;3360;#d9d9c0;96;PNG;Nikon D850;8;1600
ALUeZh2Yrc8;Abstract swirling light trails in blues and yellows;;2026;RetratNarratiu|Enquadrament|ComposicioVisual;https://images.unsplash.com/photo-1770893977495-feb6fb036345?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzM3x8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4160;6240;#0c2626;150;TIFF;Canon EOS 5D;1,8;800
asawyBuqn1s;Crowded beach with people swimming and sunbathing by the sea.;;2026;BalançDeBlancs|ProfunditatDeCamp;https://images.unsplash.com/photo-1770929356240-72cc21da6fd9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzNHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3750;5000;#d9d9d9;300;JPEG;Nikon D850;4;100
t58zQ9WtzEU;Sun setting behind snow-covered mountains;;2026;Enquadrament|Instantania|LlumNatural|ComposicioVisual|DistanciaFocal;https://images.unsplash.com/photo-1770920585508-f63a18f5bc32?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzNXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4160;5200;#f3f3f3;72;TIFF;Leica M10;1,4;3200
5vVjIErxZlo;Woman using a laptop in a field;;2025;;https://images.unsplash.com/photo-1761839257144-297ce252742e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwzNnx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;6192;4128;#f3f3f3;96;TIFF;Fujifilm X-T4;8;800
dwn1W-BWu3k;A dark road curves through a rocky cave tunnel.;;2026;ProfunditatDeCamp;https://images.unsplash.com/photo-1770768061898-6d5c4f5d77a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzN3x8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;2624;3936;#260c0c;72;PNG;Sony A7R;2,8;100
DWq15yE7080;Surfer catching a wave during a beautiful sunset.;;2025;;https://images.unsplash.com/photo-1741821159859-c129cf0289f2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzOHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;2075;2594;#f3d9c0;300;JPEG;Sony A7R;4;100
MAMQUNO77fA;Modern architecture with glowing geometric ceiling lights;;2026;RetratNarratiu;https://images.unsplash.com/photo-1770816307489-86c2d684ace7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzOXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4085;6127;#262626;300;PNG;Leica M10;8;100
mX4Urv6nqOQ;Close-up of delicate pink flowers in soft focus;;2026;RevelatDigital|Enquadrament|Instantania|ComposicioVisual|ProfunditatDeCamp;https://images.unsplash.com/photo-1769867360185-0f91f999d571?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0MHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4128;5159;#c0a6a6;150;PNG;Canon EOS 5D;1,8;100
YHKVnvCAU30;Snowy mountain range under a dark blue twilight sky.;;2026;ComposicioVisual|LlumNatural;https://images.unsplash.com/photo-1770793861392-5f0223651d19?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0MXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;5152;7728;#0c2640;72;TIFF;Nikon D850;4;200
LRC4KQ7kdB8;A small bird perched on a blooming cherry blossom branch.;;2026;;https://images.unsplash.com/photo-1770872686537-11a75a02c1cc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0Mnx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4032;6048;#f3d9f3;300;TIFF;Fujifilm X-T4;1,4;100
UnSFmJCCrW0;Stylist drapes client with a black cape in salon.;;2025;VelocitatDObturacio|ProfunditatDeCamp|BalançDeBlancs|Fotometria;https://images.unsplash.com/photo-1761839256791-6a93f89fb8b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw0M3x8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4883;3255;#d9d9d9;300;WebP;Nikon D850;4;200
VmRQHXHfygw;Palm trees silhouetted against a vibrant sunset sky.;;2026;Instantania|DistanciaFocal|ProfunditatDeCamp|Enquadrament;https://images.unsplash.com/photo-1770838916964-0ae934bf7632?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0NHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;5152;7728;#f37359;72;PNG;Leica M10;2,8;3200
MOIGsaj8te0;Abstract flowing dark blue and white fabric texture;;2026;;https://images.unsplash.com/photo-1770885653473-ca48b4d69173?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0NXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;7680;4320;#0c2626;150;WebP;Canon EOS 5D;2,8;800
qyRn7-Yk2ws;A person walks down a snowy alley at night.;;2026;;https://images.unsplash.com/photo-1770217685932-5e20c643c4f6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0Nnx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3840;2400;#262626;150;PNG;Nikon D850;1,8;800
97-blyf3IxE;Dramatic sunset over the ocean with rocky cliffs;;2026;RevelatDigital|ProfunditatDeCamp;https://images.unsplash.com/photo-1769334440627-35cbcbf3cadb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0N3x8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;6240;4160;#262626;96;TIFF;Sony A7R;5,6;800
BMkqjU4x0EI;Woman in white sweater and leg warmers in snow;;2026;BalançDeBlancs|VelocitatDObturacio|Enquadrament;https://images.unsplash.com/photo-1770045518075-2ffa2c27ddfd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0OHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;5464;8192;#c0c0c0;150;JPEG;Leica M10;2,8;3200
w_204Ua0OLc;Modern apartment building with balconies and windows;;2026;BalançDeBlancs|Enquadrament|Instantania;https://images.unsplash.com/photo-1770215962761-bd23387e33a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0OXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3765;5647;#262626;300;TIFF;Canon EOS 5D;8;1600
BvZYHz9TeCk;A young girl eating a fresh peach outdoors.;;2025;;https://images.unsplash.com/photo-1761839258044-e59f324b5a7f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw1MHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;7064;4709;#26260c;96;WebP;Canon EOS 5D;1,8;100
U-CL393XlOw;Man in fur coat and tie leans against wooden wall;;2026;BalançDeBlancs|Fotometria|Enquadrament|LlumNatural|SensibilitatISO;https://images.unsplash.com/photo-1770191954590-7292ae57b6a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1MXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3072;4608;#c0d9f3;300;TIFF;Leica M10;5,6;3200
A01xL-XBvQE;Neon signs illuminate a busy city street at night.;;2026;BalançDeBlancs|VelocitatDObturacio;https://images.unsplash.com/photo-1770297345804-e6af74ee764d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1Mnx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;5983;3989;#0c2626;300;TIFF;Leica M10;2,8;1600
ZtOMWExO7pA;Modern waiting area with large windows and seating.;;2026;;https://images.unsplash.com/photo-1770319125105-e69d454638d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1M3x8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3537;5306;#262626;150;WebP;Canon EOS 5D;1,4;400
kiPmoETpNgA;Close-up of frozen water with ice crystals and bubbles;;2026;RetratNarratiu;https://images.unsplash.com/photo-1770462988079-4e7c2a1c7586?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1NHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#73a6c0;96;JPEG;Nikon D850;8;400
eYrqa_3SinE;Beautiful sunset over the ocean.;;2025;Enquadrament|Instantania|RetratNarratiu;https://images.unsplash.com/photo-1741820983941-009a597f1db0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1NXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3922;5883;#0c2626;72;JPEG;Sony A7R;8;100
pUkKmWxdBqo;A person walks down a snowy street at night.;;2026;RevelatDigital|RetratNarratiu|VelocitatDObturacio|BalançDeBlancs;https://images.unsplash.com/photo-1770826173613-0a111734e3b2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1Nnx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3840;2400;#262626;72;JPEG;Canon EOS 5D;2,8;400
1w3tO5F8HYY;Red trolley car driving down a tree-lined street.;;2025;DistanciaFocal;https://images.unsplash.com/photo-1761839258753-85d8eecbbc29?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw1N3x8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;7067;4714;#d9d9c0;72;PNG;Leica M10;1,8;400
KMSWQ2hn1Bs;Abstract dark blue and green flowing fabric on white;;2026;LlumNatural|SensibilitatISO|Enquadrament|ProfunditatDeCamp;https://images.unsplash.com/photo-1770885653391-5cd1f045aba8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1OHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;7680;4320;#f3f3f3;150;JPEG;Fujifilm X-T4;1,8;200
kQpoOC1GTAk;Surgeons in operating room with bright lights above.;;2026;;https://images.unsplash.com/photo-1770836037330-9184ab261ed0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1OXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#404040;72;PNG;Canon EOS 5D;8;200
Oh3vQqRu0WU;Winding dark pathway through snow near water;;2026;RevelatDigital|Fotometria|Instantania|SensibilitatISO;https://images.unsplash.com/photo-1770643770962-7937094987a9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2MHx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;4000;3000;#262626;300;TIFF;Sony A7R;4;1600
